mPMT,x,y,2d rot
0,0,1,-90
1,1,1,-90
2,2,1,-90
3,3,1,-90
4,4,1,-90
5,5,1,-90
6,6,1,-90
7,7,1,-90
8,8,1,-90
9,9,1,-90
10,10,1,-90
11,11,1,-90
12,12,1,-90
13,13,1,-90
14,14,1,-90
15,15,1,-90
16,0,0,-90
17,1,0,-90
18,2,0,-90
19,3,0,-90
20,4,0,-90
21,5,0,-90
22,6,0,-90
23,7,0,-90
24,8,0,-90
25,9,0,-90
26,10,0,-90
27,11,0,-90
28,12,0,-90
29,13,0,-90
30,14,0,-90
31,15,0,-90
32,0,-1,-90
33,1,-1,-90
34,2,-1,-90
35,3,-1,-90
36,4,-1,-90
37,5,-1,-90
38,6,-1,-90
39,7,-1,-90
40,8,-1,-90
41,9,-1,-90
42,10,-1,-90
43,11,-1,-90
44,12,-1,-90
45,13,-1,-90
46,14,-1,-90
47,15,-1,-90
48,9,-2,90
49,8,-2,90
50,7,-2,90
51,10,-3,90
52,9,-3,90
53,8,-3,90
54,7,-3,90
55,6,-3,90
56,10,-4,90
57,9,-4,90
58,8,-4,90
59,7,-4,90
60,6,-4,90
61,10,-5,90
62,9,-5,90
63,8,-5,90
64,7,-5,90
65,6,-5,90
66,9,-6,90
67,8,-6,90
68,7,-6,90
69,0,2,-90
70,1,2,-90
71,2,2,-90
72,3,2,-90
73,4,2,-90
74,5,2,-90
75,6,2,-90
76,7,2,-90
77,8,2,-90
78,9,2,-90
79,10,2,-90
80,11,2,-90
81,12,2,-90
82,13,2,-90
83,14,2,-90
84,15,2,-90
85,9,3,90
86,8,3,90
87,7,3,90
88,10,4,90
89,9,4,90
90,8,4,90
91,7,4,90
92,6,4,90
93,10,5,90
94,9,5,90
95,8,5,90
96,7,5,90
97,6,5,90
98,10,6,90
99,9,6,90
100,8,6,90
101,7,6,90
102,6,6,90
103,9,7,90
104,8,7,90
105,7,7,90
